state,start,end,duration_min,delta_pct,mean_slope,min_slope,max_slope
IRRIGATE,2025-10-20 18:57:00,2025-10-20 19:15:00,18.0,-0.3499999999999943,-0.023809523809523798,-0.1333333333333352,0.0833333333333333
IRRIGATE,2025-10-20 21:45:00,2025-10-20 21:57:00,12.0,-0.29999999999999716,-0.03333333333333334,-0.2166666666666638,0.1166666666666647
IRRIGATE,2025-10-21 00:00:00,2025-10-21 00:15:00,15.0,-0.04999999999999716,-0.011111111111111285,-0.1000000000000038,0.1333333333333352
IRRIGATE,2025-10-21 03:06:00,2025-10-21 03:24:00,18.0,-0.20000000000000284,-0.019047619047619313,-0.1333333333333352,0.099999999999999
IRRIGATE,2025-10-21 07:54:00,2025-10-21 08:12:00,18.0,-0.3499999999999943,-0.0357142857142857,-0.1833333333333323,0.2666666666666657
FILL,2025-10-21 11:06:00,2025-10-21 11:12:00,6.0,0.04999999999999716,0.07222222222222126,-0.0500000000000019,0.1999999999999981
FILL,2025-10-21 11:51:00,2025-10-21 12:00:00,9.0,0.20000000000000284,0.054166666666667126,-0.0333333333333361,0.1500000000000009
IRRIGATE,2025-10-21 16:09:00,2025-10-21 16:21:00,12.0,-0.10000000000000853,-0.02000000000000076,-0.0833333333333333,0.0833333333333333
IRRIGATE,2025-10-21 19:27:00,2025-10-21 19:51:00,24.0,-0.6500000000000057,-0.035185185185185285,-0.2333333333333342,0.2333333333333342
IRRIGATE,2025-10-21 20:33:00,2025-10-21 20:45:00,12.0,-0.5499999999999972,-0.04666666666666684,-0.1166666666666647,0.1166666666666647
IRRIGATE,2025-10-21 21:21:00,2025-10-21 21:51:00,30.0,-0.25,-0.016666666666666576,-0.1500000000000009,0.1666666666666666
IRRIGATE,2025-10-21 23:06:00,2025-10-22 00:06:00,60.0,0.6500000000000057,0.0007936507936507552,-0.2333333333333342,0.25
IRRIGATE,2025-10-22 00:36:00,2025-10-22 00:48:00,12.0,-0.09999999999999432,-0.03333333333333332,-0.1333333333333352,0.1666666666666666
IRRIGATE,2025-10-22 08:36:00,2025-10-22 08:51:00,15.0,-0.04999999999999716,-0.03055555555555538,-0.1666666666666666,0.1500000000000009
FILL,2025-10-22 11:06:00,2025-10-22 11:12:00,6.0,0.10000000000000853,0.044444444444445064,-0.0499999999999971,0.099999999999999
IRRIGATE,2025-10-22 17:51:00,2025-10-22 18:06:00,15.0,0.0,-0.008333333333332851,-0.1333333333333352,0.1666666666666666
IRRIGATE,2025-10-22 18:30:00,2025-10-22 18:42:00,12.0,-0.09999999999999432,-0.0199999999999998,-0.1166666666666647,0.0833333333333333
IRRIGATE,2025-10-22 19:15:00,2025-10-22 19:39:00,24.0,0.0,-0.016666666666666767,-0.1500000000000009,0.1500000000000009
IRRIGATE,2025-10-22 20:48:00,2025-10-22 21:15:00,27.0,-0.10000000000000853,-0.02000000000000027,-0.1666666666666666,0.1333333333333305
IRRIGATE,2025-10-23 06:18:00,2025-10-23 06:42:00,24.0,0.0,-0.012962962962962735,-0.1166666666666647,0.1666666666666666
IRRIGATE,2025-10-23 07:18:00,2025-10-23 07:33:00,15.0,0.0,-0.0166666666666665,-0.1666666666666666,0.1666666666666666
IRRIGATE,2025-10-23 07:57:00,2025-10-23 08:09:00,12.0,0.20000000000000284,-0.016666666666666663,-0.1500000000000009,0.1166666666666695
IRRIGATE,2025-10-23 09:06:00,2025-10-23 09:48:00,42.0,-0.4000000000000057,-0.020000000000000094,-0.1666666666666666,0.1999999999999981
IRRIGATE,2025-10-23 10:00:00,2025-10-23 10:27:00,27.0,-0.29999999999999716,-0.024999999999999994,-0.1666666666666666,0.2833333333333361
IRRIGATE,2025-10-23 10:36:00,2025-10-23 10:51:00,15.0,-0.09999999999999432,-0.02500000000000015,-0.1166666666666695,0.1166666666666647
FILL,2025-10-23 12:48:00,2025-10-23 12:57:00,9.0,-0.25,0.0458333333333331,-0.0833333333333333,0.2666666666666657
IRRIGATE,2025-10-23 17:39:00,2025-10-23 17:57:00,18.0,0.09999999999999432,-0.007142857142857414,-0.0833333333333333,0.0833333333333333
IRRIGATE,2025-10-23 18:27:00,2025-10-23 18:39:00,12.0,0.15000000000000568,1.3877787807814458e-18,-0.0833333333333333,0.099999999999999
IRRIGATE,2025-10-23 19:03:00,2025-10-23 19:30:00,27.0,-0.04999999999999716,-0.01166666666666695,-0.1166666666666695,0.1166666666666695
IRRIGATE,2025-10-23 19:51:00,2025-10-23 20:03:00,12.0,0.0,-0.01000000000000036,-0.0833333333333333,0.1333333333333305
IRRIGATE,2025-10-23 23:42:00,2025-10-23 23:54:00,12.0,0.29999999999999716,0.003333333333333137,-0.099999999999999,0.1833333333333323
IRRIGATE,2025-10-24 00:33:00,2025-10-24 00:45:00,12.0,0.0,-0.01000000000000038,-0.1000000000000038,0.1000000000000038
IRRIGATE,2025-10-24 00:57:00,2025-10-24 01:21:00,24.0,-0.20000000000000284,-0.014814814814815015,-0.2166666666666685,0.1999999999999981
IRRIGATE,2025-10-24 03:18:00,2025-10-24 03:30:00,12.0,0.15000000000000568,-0.019999999999999803,-0.1500000000000009,0.1333333333333352
IRRIGATE,2025-10-24 03:48:00,2025-10-24 04:12:00,24.0,-0.4000000000000057,-0.027777777777777755,-0.1833333333333371,0.1833333333333371
EVAP,2025-10-24 07:00:00,2025-10-24 07:12:00,12.0,-0.15000000000000568,-0.016666666666666642,-0.0333333333333361,0.0166666666666704
FILL,2025-10-24 11:36:00,2025-10-24 11:45:00,9.0,0.29999999999999716,0.04583333333333305,0.0166666666666657,0.0833333333333333
IRRIGATE,2025-10-24 16:15:00,2025-10-24 16:33:00,18.0,-0.29999999999999716,-0.026190476190476042,-0.1500000000000009,0.1333333333333352
IRRIGATE,2025-10-24 18:00:00,2025-10-24 18:45:00,45.0,-2.700000000000003,-0.06458333333333349,-0.2833333333333314,0.25
IRRIGATE,2025-10-24 19:12:00,2025-10-24 19:57:00,45.0,-0.6499999999999915,-0.017708333333333215,-0.2666666666666657,0.1999999999999981
IRRIGATE,2025-10-24 21:18:00,2025-10-24 21:30:00,12.0,-0.05000000000001137,-0.006666666666667218,-0.1166666666666647,0.1333333333333305
IRRIGATE,2025-10-24 21:39:00,2025-10-24 22:09:00,30.0,0.29999999999999716,-0.018181818181818018,-0.2999999999999971,0.1833333333333323
IRRIGATE,2025-10-25 01:18:00,2025-10-25 01:30:00,12.0,-0.04999999999999716,-0.01666666666666666,-0.099999999999999,0.1666666666666666
IRRIGATE,2025-10-25 04:36:00,2025-10-25 04:48:00,12.0,-0.04999999999999716,-0.019999999999999803,-0.0833333333333333,0.1833333333333323
IRRIGATE,2025-10-25 08:57:00,2025-10-25 09:09:00,12.0,0.04999999999999716,-0.0233333333333339,-0.1333333333333352,0.1333333333333352
IRRIGATE,2025-10-25 09:54:00,2025-10-25 10:09:00,15.0,-0.19999999999998863,-0.033333333333333014,-0.1333333333333352,0.1500000000000009
IRRIGATE,2025-10-25 10:18:00,2025-10-25 10:39:00,21.0,-0.5499999999999972,-0.03541666666666642,-0.25,0.1999999999999981
FILL,2025-10-25 12:15:00,2025-10-25 12:24:00,9.0,0.25,0.07083333333333401,0.0,0.2000000000000028
FILL,2025-10-25 13:00:00,2025-10-25 13:09:00,9.0,0.25,0.04166666666666666,-0.0666666666666676,0.1500000000000009
IRRIGATE,2025-10-25 16:51:00,2025-10-25 17:03:00,12.0,-0.20000000000000284,-0.026666666666666054,-0.1166666666666647,0.1333333333333305
IRRIGATE,2025-10-25 23:45:00,2025-10-26 00:18:00,33.0,0.20000000000000284,-0.013888888888888881,-0.25,0.2833333333333314
IRRIGATE,2025-10-26 00:30:00,2025-10-26 01:00:00,30.0,-0.14999999999999147,-0.009090909090908999,-0.2166666666666638,0.2666666666666657
IRRIGATE,2025-10-26 03:03:00,2025-10-26 03:15:00,12.0,0.09999999999999432,-0.019999999999999823,-0.1666666666666666,0.2333333333333342
IRRIGATE,2025-10-26 04:09:00,2025-10-26 04:24:00,15.0,0.21666666666664014,-0.03518518518518633,-0.2833333333333314,0.1555555555555467
IRRIGATE,2025-10-26 04:36:00,2025-10-26 04:48:00,12.0,-0.15000000000000568,-0.02666666666666704,-0.1166666666666695,0.0833333333333333
FILL,2025-10-26 10:15:00,2025-10-26 10:27:00,12.0,0.25,0.07333333333333389,-0.1000000000000038,0.2833333333333361
IRRIGATE,2025-10-26 11:33:00,2025-10-26 12:03:00,30.0,-0.6500000000000057,-0.02272727272727271,-0.1333333333333352,0.0500000000000019
IRRIGATE,2025-10-26 12:12:00,2025-10-26 12:39:00,27.0,-0.5499999999999972,-0.030000000000000183,-0.1333333333333305,0.1666666666666666
IRRIGATE,2025-10-26 13:27:00,2025-10-26 13:42:00,15.0,-0.29999999999999716,-0.033333333333333,-0.1666666666666666,0.1500000000000009
EVAP,2025-10-26 14:12:00,2025-10-26 14:24:00,12.0,-0.20000000000000284,0.006666666666666285,-0.1333333333333352,0.099999999999999
IRRIGATE,2025-10-26 17:54:00,2025-10-26 18:48:00,54.0,-0.20000000000001705,-0.007017543859649235,-0.2666666666666657,0.2999999999999971
IRRIGATE,2025-10-26 22:06:00,2025-10-26 22:24:00,18.0,0.04999999999998295,-0.023809523809523815,-0.1833333333333276,0.1166666666666647
IRRIGATE,2025-10-26 22:54:00,2025-10-26 23:21:00,27.0,-0.15000000000000568,-0.015000000000000086,-0.1166666666666647,0.2833333333333314
IRRIGATE,2025-10-27 00:12:00,2025-10-27 00:24:00,12.0,0.0,-0.0233333333333339,-0.1166666666666695,0.0666666666666676
IRRIGATE,2025-10-27 01:54:00,2025-10-27 02:15:00,21.0,-0.45000000000000284,-0.027083333333332973,-0.1666666666666666,0.0666666666666628
IRRIGATE,2025-10-27 04:57:00,2025-10-27 05:33:00,36.0,-0.3499999999999943,-0.012820512820512815,-0.1666666666666666,0.1666666666666666
IRRIGATE,2025-10-27 05:48:00,2025-10-27 06:03:00,15.0,-0.20000000000000284,-0.03611111111111142,-0.1500000000000009,0.0833333333333333
IRRIGATE,2025-10-27 06:57:00,2025-10-27 07:09:00,12.0,0.05000000000001137,-0.0066666666666662985,-0.0500000000000019,0.099999999999999
FILL,2025-10-27 10:15:00,2025-10-27 10:33:00,18.0,0.04999999999999716,0.02857142857142897,-0.1500000000000009,0.1833333333333371
FILL,2025-10-27 10:48:00,2025-10-27 10:54:00,6.0,-0.10000000000000853,0.005555555555555233,-0.0500000000000019,0.0500000000000019
IRRIGATE,2025-10-27 15:39:00,2025-10-27 15:57:00,18.0,-0.3499999999999943,-0.028571428571428987,-0.2166666666666638,0.1500000000000056
IRRIGATE,2025-10-28 00:54:00,2025-10-28 01:27:00,33.0,-0.7999999999999972,-0.02638888888888896,-0.1666666666666666,0.25
